time	x	y	orientation_z	orientation_w	linear_vel	angular_vel
2149.47	-9.00151	-1.94485	0.693465	0.72049	0.386247	-0.286909
2149.67	-8.99429	-1.81662	0.677171	0.735813	0.752403	-0.347755
2149.87	-8.98432	-1.69519	0.662375	0.749129	0.827605	-0.368836
2150.07	-8.96872	-1.49471	0.635035	0.772372	0.854369	-0.343954
2150.27	-8.93555	-1.30996	0.602113	0.798199	0.938561	-0.384029
2150.47	-8.88304	-1.13221	0.565028	0.824729	0.930197	-0.367417
2150.67	-8.83738	-0.946053	0.525765	0.850127	0.982051	-0.390723
2150.87	-8.75037	-0.772098	0.49416	0.868674	0.988941	-0.269361
2151.07	-8.64363	-0.615758	0.468528	0.882527	0.956711	-0.249734
2151.27	-8.50529	-0.525695	0.454616	0.889506	0.990719	-0.22209
2151.47	-8.39868	-0.368262	0.42471	0.903887	0.960112	-0.362865
2151.67	-8.28784	-0.22773	0.399993	0.914817	0.866173	-0.255352
2151.87	-8.1686	-0.104025	0.382058	0.922172	0.866073	-0.242262
2152.07	-8.0411	0.0264483	0.393756	0.916919	0.914357	0.245637
2152.27	-7.92921	0.152718	0.406977	0.910807	0.887842	0.223757
2152.57	-7.78767	0.318213	0.419553	0.904636	0.887581	0.191264
2152.77	-7.67455	0.454917	0.429443	0.8996	0.901238	0.187977
2152.97	-7.58787	0.641329	0.429695	0.89909	0.872739	0.137716
2153.17	-7.48218	0.775013	0.435748	0.895773	0.886796	0.1536
2153.37	-7.37848	0.91012	0.440686	0.892934	0.857729	0.158184
2153.57	-7.2716	1.00709	0.44953	0.888072	0.850163	0.152218
2153.77	-7.17126	1.14701	0.45434	0.885146	0.863699	0.163692
2153.97	-7.07477	1.28602	0.458081	0.882733	0.856767	0.130806
2154.17	-6.98082	1.41227	0.462385	0.879979	0.870311	0.169139
2154.37	-6.88713	1.55254	0.466713	0.877169	0.841947	0.182425
2154.57	-6.79526	1.69501	0.471568	0.874031	0.835885	0.152238
2154.77	-6.70476	1.83927	0.477115	0.870449	0.85082	0.184518
2155.07	-6.59544	2.01768	0.48429	0.865738	0.853707	0.222461
2155.27	-6.4978	2.15153	0.480633	0.867219	0.80966	0.244939
2155.47	-6.42468	2.27429	0.487627	0.862857	0.663791	0.225348
2155.67	-6.34509	2.3945	0.496505	0.857511	0.54564	0.228067
2155.87	-6.29317	2.48933	0.505967	0.851762	0.516425	0.259692
2156.07	-6.24916	2.57579	0.515378	0.845981	0.469064	0.25351
2156.27	-6.17731	2.64563	0.518521	0.844117	0.341077	0.182914
2156.47	-6.14446	2.71952	0.528538	0.837877	0.404543	0.269292
2156.67	-6.11793	2.78586	0.538981	0.83127	0.342808	0.265557
2156.87	-6.08409	2.83705	0.546756	0.826369	0.241751	0.185785
2157.07	-6.07218	2.87884	0.554278	0.821619	0.185805	0.152642
2157.27	-6.06502	2.89794	0.560591	0.817689	0.201169	0.26879
2157.47	-6.06245	2.90493	0.56374	0.815835	0.137641	0.237221
2157.67	-6.04214	2.95466	0.578127	0.806099	0.111154	0.22499
2157.97	-6.01584	3.03824	0.575796	0.807957	0.30416	0.0788449
2158.17	-5.99698	3.08896	0.573226	0.809959	0.240002	0.157713
2158.37	-5.98798	3.12839	0.578648	0.806363	0.186804	0.141102
2158.57	-5.98268	3.14736	0.576454	0.808257	0.201182	-0.110115
2158.77	-5.94899	3.23694	0.557525	0.821345	0.574309	-0.260454
2158.97	-5.89949	3.37373	0.524598	0.842257	0.859869	-0.403299
2159.17	-5.81618	3.54835	0.484027	0.865386	0.994642	-0.366738
2159.37	-5.7116	3.71618	0.455393	0.87997	0.941049	-0.401038
2159.57	-5.6128	3.86964	0.422506	0.895488	0.976015	-0.446488
2159.77	-5.51091	4.019	0.389205	0.909722	0.881646	-0.488372
2159.97	-5.40447	4.15687	0.353558	0.923485	0.8544	-0.560835
2160.17	-5.33533	4.2332	0.339169	0.928413	0.796594	-0.4651
2160.37	-5.22355	4.33693	0.311243	0.937538	0.82158	-0.561201
2160.57	-5.09742	4.42752	0.279422	0.946941	0.740904	-0.609036
2160.77	-4.99177	4.50292	0.264094	0.950809	0.787029	-0.103596
2160.97	-4.83983	4.59786	0.286303	0.943484	0.978811	0.19936
2161.17	-4.68379	4.70395	0.313053	0.934372	0.918731	0.204481
2161.37	-4.54937	4.80524	0.333585	0.926886	0.865049	0.167073
2161.57	-4.44095	4.89204	0.35068	0.920269	0.768468	0.191562
2161.77	-4.32692	4.97963	0.360483	0.916297	0.590368	-0.0999388
2161.97	-4.23125	5.00535	0.336435	0.925661	0.160354	-0.531404
